date,trades_count,total_pnl,mean_pnl
2023-01-05,3,0.0,0.0
2023-05-12,9,0.0,0.0
2024-01-01,18,-129.53146,-7.196192222222223
2024-01-02,6,0.0,0.0
2024-01-03,137,8244.241409,60.176944591240876
2024-01-04,77,2507.963406,32.57095332467532
2024-01-05,14,0.0,0.0
2024-01-06,25,91.510419,3.66041676
2024-01-07,64,5065.839308,79.1537391875
2024-01-08,57,167.080017,2.9312283684210527
2024-01-09,12,137.433093,11.452757750000002
2024-01-10,4,0.0,0.0
2024-01-11,23,1040.475736,45.238075478260875
2024-01-12,416,40886.364494,98.28453003365385
2024-02-01,17,783.979116,46.11641858823529
2024-02-02,42,456.423473,10.867225547619048
2024-02-03,31,230.90060000000005,7.448406451612905
2024-02-04,41,883.760812,21.555141756097562
2024-02-06,93,192.906947,2.074268247311828
2024-02-07,18,2421.253116,134.514062
2024-02-08,63,782.3681909999999,12.418542714285714
2024-02-09,2,0.0,0.0
2024-02-10,4,0.0,0.0
2024-02-11,2,0.0,0.0
2024-02-12,270,18489.604313,68.48001597407408
2024-03-01,67,866.015507,12.925604582089552
2024-03-02,56,223.30918699999998,3.9876640535714283
2024-03-03,79,8361.086245,105.83653474683545
2024-03-04,4,126.7884,31.6971
2024-03-05,36,5306.017045,147.3893623611111
2024-03-06,70,562.808208,8.040117257142859
2024-03-07,18,1118.387284,62.132626888888886
2024-03-08,37,464.1897,12.545667567567568
2024-03-10,9,100.375782,11.152864666666666
2024-03-11,6,0.0,0.0
2024-03-12,374,23576.539285,63.03887509358289
2024-04-01,5,-67.60364,-13.520728
2024-04-02,35,47.62389499999999,1.360682714285714
2024-04-03,300,27799.775742,92.66591914
2024-04-04,32,0.0,0.0
2024-04-05,9,0.0,0.0
2024-04-06,53,52.211438,0.9851214716981133
2024-04-07,25,0.0,0.0
2024-04-08,127,-122672.000883,-965.9212667952756
2024-04-09,34,1065.785132,31.346621529411763
2024-04-10,1,0.0,0.0
2024-04-11,36,2799.410474,77.76140205555555
2024-04-12,319,292891.815021,918.1561599404388
2024-05-01,66,164.141565,2.486993409090909
2024-05-02,72,-33.45419400000003,-0.4646415833333337
2024-05-03,180,19791.026041,109.95014467222222
2024-05-04,100,10706.484306,107.06484306
2024-05-05,6,0.916,0.15266666666666667
2024-05-06,54,56.055506,1.038064925925926
2024-05-07,32,0.0,0.0
2024-05-08,80,-13013.665169,-162.6708146125
2024-05-09,1,0.0,0.0
2024-05-10,37,5767.161892,155.86924032432432
2024-05-11,10,678.4759280000001,67.8475928
2024-05-12,456,71574.11848800001,156.96078615789474
2024-06-01,22,135.58166400000002,6.16280290909091
2024-06-02,1088,-215.615907,-0.19817638511029412
2024-06-03,82,6814.825139,83.10762364634145
2024-06-04,16,236.33513399999998,14.770945874999999
2024-06-05,9,968.59038,107.62115333333333
2024-06-06,234,274.173187,1.1716802863247862
2024-06-07,24,108.87217799999999,4.53634075
2024-06-08,107,267.318048,2.4982995140186914
2024-06-09,42,-1104.856765,-26.306113452380952
2024-06-10,22,130.487079,5.9312308636363635
2024-06-11,15,2817.83723,187.85581533333334
2024-06-12,403,-92624.643895,-229.83782604218362
2024-07-01,97,-835.681235,-8.615270463917525
