sentiment,trades_count,total_pnl,mean_pnl,median_pnl,win_rate,avg_size_usd,avg_fee
Fear,13869,1779225.582654,128.28795029591174,0.0,0.381786718581008,5744.782685125099,1.1315206572731271
Greed,11292,609632.532636,53.988003244420824,0.0,0.4357066950053135,5051.878829259653,1.0929471364112469
Extreme Greed,5621,1156893.675576,205.81634505888633,0.96048,0.5532823341042519,3242.085086283579,0.8357937286835083
Neutral,2756,74656.74198,27.08880333091437,0.0,0.4949201741654572,4332.202906386067,0.9223890374528302
Extreme Fear,2326,4399.936551,1.8916322231298366,0.0,0.2927773000859845,4118.761840068787,0.6864794344411006
